paper_id,title,authors,year,doi,FINAL_EC_code,FINAL_reason
10,Psychopathology and Gaming Disorder in Adolescents.,,2025,10.1001/jamanetworkopen.2025.28532,FT-EC2,FT_IC2 = NOT_MET
11,Modifiable Parental Factors and Adolescent Sleep During Early Adolescence.,,2025,10.1001/jamanetworkopen.2025.31333,FT-EC2,FT_IC2 = NOT_MET
26,Cyberbullying and eating disorder symptoms in US early adolescents,,,10.1002/eat.24034,FT-EC2,FT_IC2 = NOT_MET
30,Adverse childhood experiences and early adolescent cyberbullying in the United States.,,2023,10.1002/jad.12124,FT-EC2,FT_IC2 = NOT_MET
36,Associations of Screen Time and Physical Activity With Body Mass Index in Early Adolescence: A Prospective Cohort Study.,,2026,10.1002/oby.70181,FT-EC2,FT_IC2 = NOT_MET
59,"The association between adverse childhood experiences (ACEs), bullying victimization, and internalizing and externalizing problems among early adolescents â¦",,,10.1007/s10964-023-01907-2,FT-EC2,FT_IC2 = NOT_MET
67,Prospective associations between media parenting practices and adolescent video game use.,,2026,10.1007/s12519-025-01009-y,FT-EC2,FT_IC2 = NOT_MET
76,Social Epidemiology of Early Adolescent Cyberbullying in the United States.,,2022,10.1016/j.acap.2022.07.003,FT-EC2,FT_IC2 = NOT_MET
77,"Associations Between Adverse Childhood Experiences, Adolescent Screen Time and Physical Activity During the COVID-19 Pandemic.",,2022,10.1016/j.acap.2022.07.007,FT-EC2,FT_IC2 = NOT_MET
78,Cyberbullying and Sleep Disturbance Among Early Adolescents in the U.S.,,2023,10.1016/j.acap.2022.12.007,FT-EC2,FT_IC2 = NOT_MET
79,The Association between Family Environment and Subsequent Risk of Cyberbullying Victimization in Adolescents.,,2024,10.1016/j.acap.2023.11.019,FT-EC2,FT_IC2 = NOT_MET
81,Cyberbullying Victimization Among Transgender and Gender-Questioning Early Adolescents.,,2025,10.1016/j.acap.2024.102624,FT-EC2,FT_IC2 = NOT_MET
82,Prevalence and Patterns of Social Media Use in Early Adolescents.,,2025,10.1016/j.acap.2025.102784,FT-EC4,FT_IC3 = NOT_MET
83,Neighborhood Quality and Screen Use: Findings From the Adolescent Brain Cognitive Development Study.,,2026,10.1016/j.acap.2025.103164,FT-EC2,FT_IC2 = NOT_MET
84,The association between screen time and cognitive function in children: The partially mediating role of putamen volume.,,2026,10.1016/j.actpsy.2026.106742,FT-EC2,FT_IC2 = NOT_MET
91,Identification and Validation of Distinct Latent Neurodevelopmental Profiles in the Adolescent Brain and Cognitive Development Study.,,2022,10.1016/j.bpsc.2021.02.013,FT-EC2,FT_IC2 = NOT_MET
98,"Current, future and potential use of mobile and wearable technologies and social media data in the ABCD study to increase understanding of contributors to child health.",,2018,10.1016/j.dcn.2018.03.008,FT-EC2,FT_IC2 = NOT_MET
103,NowIKnowMyABCD: A global resource hub for researchers using data from the ABCD Study.,,2024,10.1016/j.dcn.2024.101388,FT-EC2,FT_IC2 = NOT_MET
105,Association of cyberbullying victimization and substance initiation: The Adolescent Brain Cognitive Development (ABCD) study,,2023,10.1016/j.drugalcdep.2023.110920,FT-EC2,FT_IC2 = NOT_MET
112,"Outdoor and indoor sources of residential radiofrequency electromagnetic fields, personal cell phone and cordless phone use, and cognitive function in 5-6 years old children.",,2016,10.1016/j.envres.2016.06.021,FT-EC1,FT_IC1 = NOT_MET
116,"Radiofrequency electromagnetic fields, screen time, and emotional and behavioural problems in 5-year-old children.",,2019,10.1016/j.ijheh.2018.09.006,FT-EC1,FT_IC1 = NOT_MET
121,Prospective Predictors of Adolescent Screen Time and Problematic Screen Use.,,2025,10.1016/j.jaacop.2025.06.007,FT-EC2,FT_IC2 = NOT_MET
122,Developmental Pathways From Childhood Neurodevelopmental Traits to Early Adolescent Psychiatric Dimensions: The Role of Environmental and Lifestyle Factors.,,2026,10.1016/j.jaacop.2025.11.011,FT-EC2,FT_IC2 = NOT_MET
126,Sleep Disturbance Predicts Depression Symptoms in Early Adolescence: Initial Findings From the Adolescent Brain Cognitive Development Study.,,2020,10.1016/j.jadohealth.2019.12.005,FT-EC2,FT_IC2 = NOT_MET
128,24-Hour Movement Behaviors and Internalizing and Externalizing Behaviors Among Youth.,,2020,10.1016/j.jadohealth.2020.09.003,FT-EC2,FT_IC2 = NOT_MET
129,Transforming the Future of Adolescent Health: Opportunities From the Adolescent Brain Cognitive Development Study,,2021,10.1016/j.jadohealth.2021.11.008,FT-EC2,FT_IC2 = NOT_MET
130,The Pandemic's Toll on Young Adolescents: Prevention and Intervention Targets to Preserve Their Mental Health.,,2022,10.1016/j.jadohealth.2021.11.023,FT-EC4,FT_IC4 = NOT_MET
132,Adherence to 24-Hour Movement Recommendations and Health Indicators in Early Adolescence: Cross-Sectional and Longitudinal Associations in the Adolescent Brain Cognitive Development Study.,,2023,10.1016/j.jadohealth.2022.10.019,FT-EC2,FT_IC2 = NOT_MET
141,Sociodemographic Correlates of Contemporary Screen Time Use among 9- and 10-Year-Old Children.,,2022,10.1016/j.jpeds.2021.08.077,FT-EC7,FT_EC7_applies = TRUE
143,"Cyberbullying, mental health, and substance use experimentation among early adolescents: a prospective cohort study.",,2025,10.1016/j.lana.2025.101002,FT-EC2,FT_IC2 = NOT_MET
153,Identification and characterization of screen use trajectories from late childhood to adolescence in a US-population based cohort study.,,2023,10.1016/j.pmedr.2023.102428,FT-EC2,FT_IC2 = NOT_MET
164,Associations between 24 hour movement behaviours and global cognition in US children: a cross-sectional observational study.,,2018,10.1016/s2352-4642(18)30278-5,FT-EC2,FT_IC2 = NOT_MET
166,"Demographic, psychological, behavioral, and cognitive correlates of BMI in youth: Findings from the Adolescent Brain Cognitive Development (ABCD) study.",,2020,10.1017/s0033291719001545,FT-EC2,FT_IC2 = NOT_MET
172,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,,2025,10.1037/ccp0000912,FT-EC1,FT_IC1 = NOT_MET
176,Longitudinal relationships between lifestyle risk factors and neurodevelopment in early adolescence.,,2023,10.1037/hea0001248,FT-EC2,FT_IC2 = NOT_MET
178,Leveraging the adolescent brain cognitive development study to advance and promote adolescent health: Introduction to the special issue.,,2023,10.1037/hea0001351,FT-EC4,FT_IC3 = NOT_MET
179,One-year predictions of delayed reward discounting in the adolescent brain cognitive development study.,,2022,10.1037/pha0000532,FT-EC2,FT_IC2 = NOT_MET
185,Generalizable prediction of childhood ADHD symptoms from neurocognitive testing and youth characteristics.,,2023,10.1038/s41398-023-02502-6,FT-EC2,FT_IC2 = NOT_MET
194,Neurocognitive and brain structure correlates of reading and television habits in early adolescence.,,2025,10.1038/s41598-025-88398-2,FT-EC2,FT_IC2 = NOT_MET
205,Pet Ownership and Family Involvement in Sports and Other Activities.,,2024,10.1080/08927936.2024.2406097,FT-EC2,FT_IC2 = NOT_MET
215,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,,2025,10.1089/chi.2025.0022,FT-EC2,FT_IC2 = NOT_MET
234,"Prospective associations between sleep, sensation-seeking, and mature screen usage in early adolescents: findings from the Adolescent Brain Cognitive Development study.",,2025,10.1093/sleep/zsae234,FT-EC2,FT_IC2 = NOT_MET
239,"Radiofrequency electromagnetic fields exposure, screen time and cognitive function in children and adolescents at 9-18 years old",,2019,10.1097/01.ee9.0000606160.27107.76,FT-EC1,FT_IC1 = NOT_MET
248,What we know about screen time and social media in early adolescence: a review of findings from the Adolescent Brain Cognitive Development Study.,,2025,10.1097/mop.0000000000001462,FT-EC4,FT_IC4 = NOT_MET
291,Problematic smartphone use: What can teenagers and parents do to reduce use?,,2024,10.1111/apa.17365,FT-EC1,FT_IC1 = NOT_MET
