paper_id,title,year,doi,C1_decision,C1_EC_code,C1_reason
1,Social Media Use Trajectories and Cognitive Performance in Adolescents.,2025,10.1001/jama.2025.16613,INCLUDE,,"Step 1 hit: 'Social media time (hours per day)' is explicitly the IV in all regression analyses, paired with individual-trait cognitive outcomes (NIH Toolbox Cognition Battery subtests and composite). Numeric estimates reported in Table: e.g., high increasing vs."
2,Smartphone Use During School Hours by US Youth in the Adolescent Brain Cognitive Development Study.,2026,10.1001/jama.2025.23235,EXCLUDE,FT-EC2,"Step 1: The PDF provided is the supplementary-only document; no main article body is present. The supplement reports only adjusted means of smartphone app-category use (social, communication, games, etc.) broken down by demographic subgroups (sex, race/ethnicity)."
3,"Addictive Screen Use Trajectories and Suicidal Behaviors, Suicidal Ideation, and Mental Health in US Youths.",2025,10.1001/jama.2025.7829,INCLUDE,,"Step 1 hit: SMAQ (Social Media Addiction Questionnaire) and MPIQ (Mobile Phone Involvement Questionnaire) are qualifying SM/phone-specific variables used as exposures (IVs). Addictive use trajectories of social media and mobile phones predict suicidal behaviors (e.g., increasing SMAQ trajectory: RR=2.14, 95% CI 1.61-2.85), suicidal ideation (RR=1.46), and CBCL internalizing/externalizing symptoms..."
4,Association of Video Gaming With Cognitive Performance Among Children.,2022,10.1001/jamanetworkopen.2022.35721,EXCLUDE,FT-EC2,"Step 1: The only gaming variable is total video gaming hours per week derived from the item 'Play video games on a computer, console, phone, or other devices' -- an unspecified-platform aggregate (computer + console + phone + other). No separate phone-based gaming coefficient exists anywhere in the paper. Step 2 not reached."
5,Association of Physical Activity and Screen Time With Body Mass Index Among US Adolescents.,2023,10.1001/jamanetworkopen.2022.55466,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere in the paper. The exposure variable 'total recreational screen time' is a composite sum calculated across all screen activities: television shows and movies, videos, video games (single player and multiplayer), texting, social media, and video chat. Only the aggregate composite is analyzed;"
7,Shared Genetic Risk in the Association of Screen Time With Psychiatric Problems in Children.,2023,10.1001/jamanetworkopen.2023.41502,EXCLUDE,FT-EC2,Step 1: No phone/SM-specific estimate found. The primary exposure is total child-reported daily screen time from a 14-question Screen Time Questionnaire. No separate phone/SM-only coefficient is reported anywhere in the main paper.
8,Social Media Use and Depressive Symptoms During Early Adolescence.,2025,10.1001/jamanetworkopen.2025.11704,INCLUDE,,"Step 1 hit: time spent on social media (IV) paired with depressive symptoms/CBCL score (individual-trait DV). Cross-lagged path: social media use Y1 -> depressive symptoms Y2, β=0.07 (95% CI 0.01-0.12, p=.01); Y2->Y3, β=0.09 (95% CI 0.04-0.14, p<.001). Reverse path (depression->SM) also modeled, yielding β=0.00 at both intervals. Both sides qualify: time on SM is a phone/SM variable;"
10,Psychopathology and Gaming Disorder in Adolescents.,2025,10.1001/jamanetworkopen.2025.28532,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate found anywhere in the paper. The sole screen-related variable is gaming disorder measured via the Video Game Addiction Questionnaire (VGAQ), plus minutes gaming per week (Table 2). VGAQ is a generic video-game variable with no explicit mobile/phone modality specified."
11,Modifiable Parental Factors and Adolescent Sleep During Early Adolescence.,2025,10.1001/jamanetworkopen.2025.31333,EXCLUDE,FT-EC2,"Step 1: Screen use (assessed as total daily screen time hours via Youth Screen Time Survey at wave 2) appears exclusively as a mediator in mediation analyses -- e.g., parental monitoring -> screen use -> sleep quality (indirect beta = 0.004); family conflict -> screen use -> sleep chronotype (indirect beta = 0.01). Screen use is never the IV or DV of a primary analysis;"
12,Screen Time Use Among US Adolescents During the COVID-19 Pandemic: Findings From the Adolescent Brain Cognitive Development (ABCD) Study.,2022,10.1001/jamapediatrics.2021.4334,EXCLUDE,FT-EC2,"Step 1: Table 2 reports regression coefficients for mental health, perceived stress, social support, and coping behaviors predicting TOTAL screen time. No per-modality regression coefficients for phone/SM-specific variables (texting, social media, video chatting) against any individual-trait outcome are found anywhere in the paper."
13,Role of Sleep and White Matter in the Link Between Screen Time and Depression in Childhood and Early Adolescence,2025,10.1001/jamapediatrics.2025.1718,INCLUDE,,"Lima Santos 2025 JAMA Pediatrics -- prospective ABCD analysis (n=976, ages 9-10 -> 11-13) of screen time -> depressive symptoms, mediated by sleep duration and cingulum bundle white matter (NODDI/ODI). Headline analyses use total daily screen time composite (β=0.12 for depression). BUT methods (p.4) explicitly define exploratory subcategories: 'passive entertainment (watching TV, watching videos), active entertainment (playing videogames), and communication (texting, using social media, videochatting).' The communication subcategory is exclusively phone/SM/digital-socializing items (Step 2 hit)."
18,"Causal Relationships Between Screen Use, Reading, and Brain Development in Early Adolescents.",2024,10.1002/advs.202307540,INCLUDE,,"Step 1 hit: SNS (visiting social networking sites) and Text (texting on a cell phone, tablet, or computer) and VC (video chatting) are separately measured phone/SM-specific variables with their own coefficients. Figure 2 and Table S1 report β coefficients for SNS predicting picture vocabulary (β=-4.28 and -1.31 at two timepoints), rule-breaking behavior (β=0.73 and 0.42), and aggressive behavior."
24,Contemporary screen time modalities among children 9-10 years old and binge-eating disorder at one-year follow-up: A prospective cohort study.,2021,10.1002/eat.23489,INCLUDE,,"Step 1 hit: Table 2 reports per-modality adjusted ORs against binge-eating disorder: social networking aOR 1.62 (95% CI 1.18-2.22, p=.003); texting aOR 1.40 (95% CI 1.08-1.82, p=.011); video chat aOR 1.32 (95% CI 0.99-1.76, p=.057). Social networking and texting are phone/SM-specific variables; binge-eating disorder is a clinical/health individual-trait outcome. Step 1 satisfied; stop."
26,Cyberbullying and eating disorder symptoms in US early adolescents,,10.1002/eat.24034,EXCLUDE,FT-EC2,"Step 1: The only exposure variables are cyberbullying victimization and cyberbullying perpetration (assessed via online/texts/social media items). No separate numeric estimate for any qualifying phone/SM variable (time on phone, time on SM, named platform, texting, app use, etc.) appears anywhere in the paper including Table 2 or supplementary materials."
27,Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression,2024,10.1002/eat.24169,EXCLUDE,FT-EC2,"Al-shoaibi 2024 Int J Eat Disord -- prospective ABCD analysis of average daily screen time -> BED with depression as mediator (n=9,465). Only ONE screen variable analyzed: total daily screen time (weighted weekday/weekend average summed across 6 modalities: TV/movies, YouTube, video games, texting, video chatting, social media). Reported as continuous hours/day, single OR=1.09 (95% CI 1.03-1.14) for BED. NO per-modality breakout anywhere in main, supplementary, or sensitivity analyses."
30,Adverse childhood experiences and early adolescent cyberbullying in the United States.,2023,10.1002/jad.12124,EXCLUDE,FT-EC2,"Step 1: All numeric estimates in Tables 2 and 3 pair ACE scores/types with cyberbullying victimization. No phone/SM-specific variable (texting time, social media time, SMAQ, MPIQ, etc.) appears as IV or DV with its own coefficient anywhere in the paper, including supplementary tables. Step 2 not reached."
31,"Associations of Sleep, Screen Time, and Extracurricular Activities With Cognitive Development: A Longitudinal Study.",2026,10.1002/jad.70069,INCLUDE,,"Step 1 hit: Social media is analyzed as a separate predictor with its own coefficient in Tables 3 and 4. E.g., Table 3: social media -> inhibitory control and attention (B = -0.50, SE = 0.21, p = 0.017, pFDR = 0.026*); social media -> information processing speed (B = -0.99, SE = 0.41, p = 0.015, pFDR = 0.039*);"
35,Concurrent and prospective associations of social media usage with binge eating symptoms in early adolescence.,2025,10.1002/oby.24199,INCLUDE,,Step 1 hit: Tables 2 and 3 report PR and RR for SMA (social media addiction scale adapted from Bergen Facebook Addiction Scale) predicting binge eating (BE) symptoms: Wave 1 addiction group PR=2.17 (95% CI: 1.22-3.84) in Table 2; longitudinal RR=1.90 (95% CI: 1.10-3.27) in Table 3. SMA is a qualifying problematic/addictive SM scale (Bergen-derived).
36,Associations of Screen Time and Physical Activity With Body Mass Index in Early Adolescence: A Prospective Cohort Study.,2026,10.1002/oby.70181,EXCLUDE,FT-EC2,"Step 1: Searched all results tables (Table 2, Figure 1) and methods. The sole exposure variable is ""total recreational screen time"" from the ABCD Youth Screen Time Survey, described in methods as: ""watching television and videos, playing video games, texting, social media, video chat"" -- a composite summed across modalities."
48,"Childhood internalizing, externalizing and attention symptoms predict changes in social and nonsocial screen time.",2024,10.1007/s00127-024-02669-3,INCLUDE,,"Step 1 hit: social screen time composite = texting + social media + video chatting (exclusively phone/SM/digital-socializing items). Results report OR estimates for social screen time as DV (e.g., internalizing clinical symptoms predicting weekday social screen time OR=0.92;"
49,Screen time and manic symptoms in early adolescents: prospective findings from the Adolescent Brain Cognitive Development Study.,2025,10.1007/s00127-025-02814-6,INCLUDE,,"Step 1 hit: social media screen time (Year 1) as IV paired with manic symptoms (Year 3, 7 Up Mania scale) as individual-trait DV. Adjusted coefficient B=0.20 (95% CI 0.09, 0.32, p=0.001) in Table 2. Texting screen time also qualifies: B=0.18 (95% CI 0.08, 0.28, p<0.001). Both sides qualify: time on social media/texting are phone/SM-specific variables;"
50,Online social activity time predicts ADHD problems in youth from late childhood to early adolescence in the ABCD study.,2025,10.1007/s00787-024-02620-6,INCLUDE,,"Step 1 hit: OSA (online social activity) time is constructed exclusively from ""texting"" + ""visiting social networking sites"" + ""video chatting"" -- all qualifying SM/phone items. Numeric cross-lagged path estimates reported: OSA time (T2->T3) -> ADHD problems beta = 0.058* (Fig. 1); OSA time (T3->T4) -> ADHD problems beta = 0.074** (Fig. 1);"
