row_id,title,authors,journal,year,doi,url,url_type,coder,date_coded,notes
1,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,Al-Shoaibi AA; Helmer CK; Shim J; Choi W; Dooley EE; Gooding HC; Pettee Gabriel K; Baker FC; Nagata JM,Childhood obesity (Print),2025,10.1089/chi.2025.0022,https://doi.org/10.1089/chi.2025.0022,DOI,AI,2026-03-24,
2,Upper Airway Volume Predicts Brain Structure and Cognition in Adolescents.,Kanhere A; Navarathna N; Yi PH; Parekh VS; Pickle J; Cloak CC; Ernst T; Chang L; Li D; Redline S; Isaiah A,American journal of respiratory and critical care medicine,2025,,https://pubmed.ncbi.nlm.nih.gov/40460372,PubMed,AI,2026-03-24,
3,Assessing the association between ADHD and brain maturation in late childhood and emotion regulation in early adolescence.,Ágrez K; Vakli P; Weiss B; Vidnyánszky Z; Bunford N,Translational psychiatry,2025,10.1038/s41398-025-03411-6,https://doi.org/10.1038/s41398-025-03411-6,DOI,AI,2026-03-24,
4,Exploring the neural basis of reaction time variability in ADHD: The importance of examining data at the trial level,Tamm L; Dudley JA; Karalunas SL; Simon JO; Maloney TC; Atluri G; & Epstein JN,NeuroImage: Reports,2025,10.1016/j.ynirp.2025.100263,https://doi.org/10.1016/j.ynirp.2025.100263,DOI,AI,2026-03-24,
5,"Timing matters: A multi-contextual, within-individual approach to understanding age-related changes in psychopathology in the ABCD Study.",Brieant A; Simmons C,Journal of research on adolescence : the official journal of the Society for Research on Adolescence,2025,10.1111/jora.70030,https://doi.org/10.1111/jora.70030,DOI,AI,2026-03-24,
6,Exploring Behavioural Patterns in Youth Predisposed to Bipolar Disorder and the Role of Interpersonal Trauma Using the Adolescent Brain Cognitive Development (ABCD) Dataset.,Ghaleb C; Penney D; Lavigne KM; Raucher-Chéné D,Early intervention in psychiatry,2025,10.1111/eip.70058,https://doi.org/10.1111/eip.70058,DOI,AI,2026-03-24,
7,Social Connectedness and Neurodevelopmental Functioning in Youth: Insights from the ABCD Study®,,Adv Neurodev Disord,2025,10.1007/s41252-025-00448-y,https://doi.org/10.1007/s41252-025-00448-y,DOI,AI,2026-03-24,
8,"Socioeconomic factors, brain-derived neurotrophic factor Val66Met polymorphism, and cortical structure in children and adolescents.",Merz EC; Morys F; Hansen M; Strack J; Jacobs L; Vainik U; Shishikura M; Myers B,Scientific reports,2025,10.1038/s41598-025-04081-6,https://doi.org/10.1038/s41598-025-04081-6,DOI,AI,2026-03-24,
9,Initial Subjective Response to Nicotine Vaping Predicts Subsequent E-Cigarette Use in Early Adolescence: An ABCD Investigation.,Courtney KE; Nguyen-Louie TT; Thompson W; Wade NE; Robledo Gonzalez M; Jacobus J; Doran N,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,2025,10.1093/ntr/ntaf116,https://doi.org/10.1093/ntr/ntaf116,DOI,AI,2026-03-24,
10,Fine particulate matter air pollution and longitudinal gray matter development changes during early adolescence: variation by neighborhood disadvantage level,de Jesus AV; Ahmadi H; Hackman DA; Cardenas-Iniguez C; Schachner J; Schwartz J; Gauderman WJ; Chen J-C; & Herting MM,Environment International,2025,10.1016/j.envint.2025.109561,https://doi.org/10.1016/j.envint.2025.109561,DOI,AI,2026-03-24,
