candidate_id,row_id,doi,title,authors,journal,year,matched_keywords,match_location,inclusion_rationale,final_decision,coder,date_coded,notes
1,1,10.1089/chi.2025.0022,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,Al-Shoaibi AA; Helmer CK; Shim J; Choi W; Dooley EE; Gooding HC; Pettee Gabriel K; Baker FC; Nagata JM,Childhood obesity (Print),2025,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
2,28,10.1038/s44184-025-00131-z,Examining measurement discrepancies in adolescent screen media activity with insights from the ABCD study.,Zhao Y; Han X; Bagot KS; Tapert SF; Potenza MN; Paulus MP,Npj mental health research,2025,"screen time, social media, smartphone, video game, media use",abstract,"abstract match: screen time, social media, smartphone, video game, media use",INCLUDE,AI,2026-03-24,
3,44,10.1001/jamanetworkopen.2025.11704,Social Media Use and Depressive Symptoms During Early Adolescence.,Nagata JM; Otmar CD; Shim J; Balasubramanian P; Cheng CM; Li EJ; Al-Shoaibi AAA; Shao IY; Ganson KT; Testa A; Kiss O; He J; Baker FC,JAMA network open,2025,"social media, media use",both,"both match: social media, media use",INCLUDE,AI,2026-03-24,
4,47,10.1016/j.psychres.2025.116523,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study.",Alexander JD; Nguyen-Louie TT; Gupta S; Cummins KM; Wade NE,Psychiatry research,2025,smartphone,both,both match: smartphone,INCLUDE,AI,2026-03-24,
5,50,10.1556/2006.2025.00035,Beyond screen time: The core influences of problematic screen use on adolescent development networks.,Xu LX; Song KR; Deng HY; Geng XM; Zhang JL; Fang XY; Potenza MN; Zhang JT,Journal of behavioral addictions,2025,"screen time, social media, smartphone, gaming, problematic screen, screen use",both,"both match: screen time, social media, smartphone, gaming, problematic screen, screen use",INCLUDE,AI,2026-03-24,
6,76,10.1097/MOP.0000000000001462,What we know about screen time and social media in early adolescence: a review of findings from the Adolescent Brain Cognitive Development Study.,Nagata JM; Lee CM; Hur JO; Baker FC,Current opinion in pediatrics,2025,"screen time, social media, video game, texting, screen use, media use",both,"both match: screen time, social media, video game, texting, screen use, media use",INCLUDE,AI,2026-03-24,
7,79,10.1016/j.chb.2025.108554,Elevated loss sensitivity in the reward circuit in adolescents with video game but not social media addiction,He X; Chen Y; Zhang W; & Li C-S R,Computers in Human Behavior,2025,"social media, video game",title,"title match: social media, video game",INCLUDE,AI,2026-03-24,
8,95,10.1093/sleepadvances/zpaf019,"Preliminary findings on caffeine intake, screen time, social factors, and psychological well-being: their impact on chronotype and sleep health in Hispanic adolescents.",Wallace AL; Aguinaldo L; Thomas ML; McCarthy MJ; Meruelo AD,Sleep advances : a journal of the Sleep Research Society,2025,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
9,119,10.1111/apa.70051,Cyberbullying Victimisation Was Associated With Greater Manic Symptoms in Early Adolescence: A Prospective Cohort Study.,Nagata JM; Zamora G; Wong JH; Al-Shoaibi AAA; Ganson KT; Testa A; He J; Lavender JM; Baker FC,"Acta paediatrica (Oslo, Norway : 1992)",2025,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
10,134,10.1038/s41598-025-88398-2,Neurocognitive and brain structure correlates of reading and television habits in early adolescence.,Rauschecker AM; Nedelec P; Pan S; Olaru M; Nillo RM; Palmer CE; Pecheva D; Dale AM; Jernigan TL; Sugrue LP,Scientific reports,2025,television,both,both match: television,INCLUDE,AI,2026-03-24,
11,137,10.1007/s00127-025-02814-6,Screen time and manic symptoms in early adolescents: prospective findings from the Adolescent Brain Cognitive Development Study.,Nagata JM; Zamora G; Al-Shoaibi AAA; Lavender JM; Ganson KT; Testa A; He J; Baker FC,Social psychiatry and psychiatric epidemiology,2025,"screen time, social media, video game, texting, problematic screen, screen use, media use",both,"both match: screen time, social media, video game, texting, problematic screen, screen use, media use",INCLUDE,AI,2026-03-24,
12,149,10.1186/s12887-024-05367-w,Associations between media parenting practices and early adolescent consumption of R-rated movies and mature-rated video games.,Nagata JM; Li K; Sui SS; Talebloo J; Otmar CD; Shao IY; Kiss O; Ganson KT; Testa A; He J; Baker FC,BMC pediatrics,2025,"screen time, video game, screen use",both,"both match: screen time, video game, screen use",INCLUDE,AI,2026-03-24,
13,172,10.1016/j.acap.2025.102784,Prevalence and Patterns of Social Media Use in Early Adolescents.,Nagata JM; Memon Z; Talebloo J; Karen Li MPH; Low P; Shao IY; Ganson KT; Testa A; He J; Brindis CD; Baker FC,Academic pediatrics,2025,"social media, media use",both,"both match: social media, media use",INCLUDE,AI,2026-03-24,
14,176,10.1037/ccp0000912,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,Dall'Aglio L; Labrecque JA; Schuurmans I; Zhang Y; Creasey N; Wilson M; Kennedy CJ; Muetzel RL; Smoller JW; Tiemeier H; Choi KW,Journal of consulting and clinical psychology,2025,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
15,185,10.1111/ejn.16662,Responsible Use of Population Neuroscience Data in the ABCD: Towards Standards of Accountability and Integrity.,Brown SA; Garavan H; Jernigan TL; Tapert SF; Huber RS; Lopez D; Murray T; Dowling G; Hoffman EA; Uddin LQ,The European journal of neuroscience,2025,social media,abstract,abstract match: social media,INCLUDE,AI,2026-03-24,
16,196, https://doi.org/10.1177/00111287241305057,Traumatic Stress Exposure as a Predictor of Dual Systems Model Development: Examining Deviant Peer Association as a Social Mediating Mechanism,Wojciechowski TW,Crime & Delinquency,2024,social media,title,title match: social media,INCLUDE,AI,2026-03-24,
17,203,10.1556/2006.2024.00068,The longitudinal association between reward processing and symptoms of video game addiction in the Adolescent Brain Cognitive Development Study.,Lopez DA; Foxe JJ; van Wijngaarden E; Thompson WK; Freedman EG,Journal of behavioral addictions,2024,"video game, gaming",both,"both match: video game, gaming",INCLUDE,AI,2026-03-24,
18,223,10.1002/oby.24199,Concurrent and prospective associations of social media usage with binge eating symptoms in early adolescence.,Shi X; Duck SA; Jansen E; Borsarini B; Blackwell CK; Li Y; Carnell S,"Obesity (Silver Spring, Md.)",2024,social media,both,both match: social media,INCLUDE,AI,2026-03-24,
19,235,10.1016/j.drugalcdep.2024.112504,Prospective association between screen use modalities and substance use experimentation in early adolescents.,Nagata JM; Shim J; Low P; Ganson KT; Testa A; He J; Santos GM; Brindis CD; Baker FC; Shao IY,Drug and alcohol dependence,2024,"screen time, social media, video game, texting, screen use, television, media use",both,"both match: screen time, social media, video game, texting, screen use, television, media use",INCLUDE,AI,2026-03-24,
20,243,10.1016/j.addbeh.2024.108211,"Mobile phone ownership, social media use, and substance use at ages 11-13 in the ABCD study.",Doran N; Wade NE; Courtney KE; Sullivan RM; Jacobus J,Addictive behaviors,2024,"social media, mobile phone, media use",both,"both match: social media, mobile phone, media use",INCLUDE,AI,2026-03-24,
21,244,10.1080/08927936.2024.2406097,Pet Ownership and Family Involvement in Sports and Other Activities.,Halbreich ED; Van Allen J,Anthrozoos,2024,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
22,266,10.1016/j.dcn.2024.101466,Responsible use of population neuroscience data: Towards standards of accountability and integrity.,Brown SA; Garavan H; Jernigan TL; Tapert SF; Huber RS; Lopez D; Murray T; Dowling G; Hoffman EA; Uddin LQ,Developmental cognitive neuroscience,2024,social media,abstract,abstract match: social media,INCLUDE,AI,2026-03-24,
23,274,10.1093/sleep/zsae234,"Prospective associations between Sleep, Sensation-Seeking and Mature Screen Usage in Early Adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.",Zhang L; Oshri A; Carvalho C; Uddin LQ; Geier C; Nagata JM; Cummins K; Hoffman EA; Tomko RL; Chaarani B; Squeglia LM; Wing D; Mason MJ; Fuemmeler B; Lisdahl K; Tapert SF; Baker FC; Kiss O,Sleep,2024,"video game, gaming",abstract,"abstract match: video game, gaming",INCLUDE,AI,2026-03-24,
24,283,10.1186/s12889-024-20102-x,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Al-Shoaibi AAA; Leong AW; Zamora G; Testa A; Ganson KT; Baker FC,BMC public health,2024,"screen time, video game, texting, screen use",both,"both match: screen time, video game, texting, screen use",INCLUDE,AI,2026-03-24,
25,317,10.1007/s40519-024-01685-1,"Screen time, problematic screen use, and eating disorder symptoms among early adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) Study.",Chu J; Ganson KT; Testa A; Al-Shoaibi AAA; Jackson DB; Rodgers RF; He J; Baker FC; Nagata JM,Eating and weight disorders : EWD,2024,"screen time, social media, mobile phone, problematic screen, screen use, media use",both,"both match: screen time, social media, mobile phone, problematic screen, screen use, media use",INCLUDE,AI,2026-03-24,
