row_id,doi,title,kw_screen_time,kw_social_media,kw_smartphone,kw_mobile_phone,kw_video_game,kw_gaming,kw_texting,kw_digital_media,kw_internet_use,kw_problematic_screen,kw_screen_use,kw_television,kw_media_use,match_location,any_keyword_hit,title_hit_count,abstract_hit_count,include_exclude,coder,date_coded,notes
1,10.1089/chi.2025.0022,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,1,0,0,0,0,0,0,0,0,0,0,0,0,both,True,1,1,INCLUDE,AI,2026-03-24,
2,,Upper Airway Volume Predicts Brain Structure and Cognition in Adolescents.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
3,10.1038/s41398-025-03411-6,Assessing the association between ADHD and brain maturation in late childhood and emotion regulation in early adolescence.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
4,10.1016/j.ynirp.2025.100263,Exploring the neural basis of reaction time variability in ADHD: The importance of examining data at the trial level,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
5,10.1111/jora.70030,"Timing matters: A multi-contextual, within-individual approach to understanding age-related changes in psychopathology in the ABCD Study.",0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
6,10.1111/eip.70058,Exploring Behavioural Patterns in Youth Predisposed to Bipolar Disorder and the Role of Interpersonal Trauma Using the Adolescent Brain Cognitive Development (ABCD) Dataset.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
7,10.1007/s41252-025-00448-y,Social Connectedness and Neurodevelopmental Functioning in Youth: Insights from the ABCD Study®,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
8,10.1038/s41598-025-04081-6,"Socioeconomic factors, brain-derived neurotrophic factor Val66Met polymorphism, and cortical structure in children and adolescents.",0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
9,10.1093/ntr/ntaf116,Initial Subjective Response to Nicotine Vaping Predicts Subsequent E-Cigarette Use in Early Adolescence: An ABCD Investigation.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
10,10.1016/j.envint.2025.109561,Fine particulate matter air pollution and longitudinal gray matter development changes during early adolescence: variation by neighborhood disadvantage level,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
11,10.1176/appi.ajp.20240735,Prevalence of Suicidal Ideation and Suicide Attempts by Race and Gender in Three Large U.S. Adolescent Cohorts.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
12,10.1016/j.dcn.2025.101572,Parental Substance Use History Density and Its Influence on Reward Anticipation Brain Activation in Late Childhood and Early Adolescence,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
13,10.3389/frcha.2025.1504323,Unlocking the potential of wearable technology: Fitbit-derived measures for predicting ADHD in adolescents,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
14,10.1038/s41598-025-00378-8,Associations between structural stigma and earlier pubertal timing persist for 1 year among Black girls and Latinx youth.,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
15,10.1016/j.biopsycho.2025.109058,"Differentiation of Executive Functions During Adolescence: Converging Evidence from Behavioral, Genetic and Neural Data.",0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
16,10. 1016/j.lana.2025. 101002,"Cyberbullying, mental health, and substance use experimentation among early adolescents: a prospective cohort study",0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
17,10.1038/s44220-025-00431-5,Cross-sectional mega-analysis of resting-state alterations associated with autism and attention-deficit/hyperactivity disorder in children and adolescents,0,0,0,0,0,0,0,0,0,0,0,0,0,none,False,0,0,EXCLUDE,AI,2026-03-24,
