candidate_id,doi,title,publisher,access_method,download_status,retry_count,file_path,file_size_kb,page_count,coder,date_coded,notes
1,10.1089/chi.2025.0022,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40474740, PMCID: PMC12320422 - PMC download failed"
2,10.1038/s44184-025-00131-z,Examining measurement discrepancies in adolescent screen media activity with insights from the ABCD study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40346141, PMCID: PMC12064680 - PMC download failed"
3,10.1001/jamanetworkopen.2025.11704,Social Media Use and Depressive Symptoms During Early Adolescence.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40397441, PMCID: PMC12096259 - PMC download failed"
4,10.1016/j.psychres.2025.116523,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40319611, PMCID: N/A - No PMC available"
5,10.1556/2006.2025.00035,Beyond screen time: The core influences of problematic screen use on adolescent development networks.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40293811, PMCID: PMC12231442 - PMC download failed"
6,10.1097/MOP.0000000000001462,What we know about screen time and social media in early adolescence: a review of findings from the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40172268, PMCID: PMC12259366 - PMC download failed"
7,10.1016/j.chb.2025.108554,Elevated loss sensitivity in the reward circuit in adolescents with video game but not social media addiction,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: None, PMCID: N/A - No PMC available"
8,10.1093/sleepadvances/zpaf019,"Preliminary findings on caffeine intake, screen time, social factors, and psychological well-being: their impact on chronotype and sleep health in Hispanic adolescents.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40303380, PMCID: PMC12038348 - PMC download failed"
9,10.1111/apa.70051,Cyberbullying Victimisation Was Associated With Greater Manic Symptoms in Early Adolescence: A Prospective Cohort Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 40038058, PMCID: PMC12258123 - PMC download failed"
10,10.1038/s41598-025-88398-2,Neurocognitive and brain structure correlates of reading and television habits in early adolescence.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39979383, PMCID: PMC11842790 - PMC download failed"
