paper_id,doi,title,first_author,year,journal,has_pdf,FT_IC1_C1,FT_IC1_C2,FT_IC1_C1_evidence,FT_IC1_C2_evidence,FT_IC1_RESOLVE,FT_IC1_RESOLVE_evidence,FT_IC1_FINAL,FT_IC2_C1,FT_IC2_C2,FT_IC2_C1_evidence,FT_IC2_C2_evidence,FT_IC2_RESOLVE,FT_IC2_RESOLVE_evidence,FT_IC2_FINAL,FT_IC3_C1,FT_IC3_C2,FT_IC3_C1_evidence,FT_IC3_C2_evidence,FT_IC3_RESOLVE,FT_IC3_RESOLVE_evidence,FT_IC3_FINAL,FT_IC4_C1,FT_IC4_C2,FT_IC4_C1_evidence,FT_IC4_C2_evidence,FT_IC4_RESOLVE,FT_IC4_RESOLVE_evidence,FT_IC4_FINAL,FT_IC5_C1,FT_IC5_C2,FT_IC5_C1_evidence,FT_IC5_C2_evidence,FT_IC5_RESOLVE,FT_IC5_RESOLVE_evidence,FT_IC5_FINAL,FT_IC6_C1,FT_IC6_C2,FT_IC6_C1_evidence,FT_IC6_C2_evidence,FT_IC6_RESOLVE,FT_IC6_RESOLVE_evidence,FT_IC6_FINAL,FINAL_DECISION,FINAL_EXCLUSION_CODE,FINAL_FAILED_CRITERION,FINAL_REASON,C1_edge_cases,C2_edge_cases,RESOLVER_edge_cases
431,10.1542/peds.2025-072941,"Smartphone Ownership, Age of Smartphone Acquisition, and Health Outcomes in Early Adolescence.","Barzilay, Ran",2026.0,Pediatrics,1,MET,MET,"Paper explicitly analyzes U.S. ABCD Study data across baseline and multiple follow-up waves (2-year, 3-year, 4-year assessments) examining smartphone ownership and health outcomes.","Paper explicitly analyzes U.S. ABCD Study data across three analyses at 2-year and 3-year follow-up assessments with N=10,588 (Analysis 1), N=6,739 (Analysis 2), and N=3,486 (Analysis 3).",,,MET,MET,MET,Smartphone ownership (yes/no) and age of first smartphone acquisition measured as primary exposures; also measured problematic smartphone use via MPIQ.,Smartphone ownership and age of first smartphone acquisition measured as primary exposures; qualifying screen variables per criteria.,,,MET,MET,MET,"Reports associations between smartphone ownership/age of acquisition and health outcomes: depression diagnosis (KSADS-5), obesity (BMI), and insufficient sleep (Munich Chronotype Questionnaire). Logistic and linear mixed models with reported coefficients.","Multiple inferential tests linking smartphone exposures to health outcomes (depression, obesity, insufficient sleep). Mixed models and logistic regressions reported throughout.",,,MET,MET,MET,"Multiple numeric results reported: e.g., smartphone ownership associated with depression, obesity, sleep; supplemental tables include ORs, CIs, p-values for binary outcomes and continuous measures.","Numeric coefficients and p-values reported in supplemental tables (β, SE, p-values); example from supplemental methods: models with depression, BMI, and sleep duration outcomes.",,,MET,MET,MET,Original longitudinal analysis with mixed models testing associations of smartphone ownership/acquisition with health outcomes across three assessment timepoints.,Original empirical longitudinal analysis with three distinct analyses testing associations of smartphone ownership/acquisition with health outcomes.,,,MET,MET,MET,Peer-reviewed journal article published in Pediatrics (2026).,"Peer-reviewed journal article (Pediatrics, 2026).",,,MET,INCLUDE,,,All 6 criteria MET,E13,E13,
122,10.1016/j.jaacop.2025.11.011,Developmental Pathways From Childhood Neurodevelopmental Traits to Early Adolescent Psychiatric Dimensions: The Role of Environmental and Lifestyle Factors.,"Caserini, Chiara",2026.0,JAACAP open,1,MET,MET,"Paper states it analyzed 11,875 participants from the ABCD Study at baseline (age 10) and follow-up waves at ages 11 and 12 years.","Paper analyzes U.S. ABCD Study data from 11,875 participants at baseline and 1-year and 2-year follow-up timepoints (ages 10, 11, 12).",,,MET,MET,MET,"Measured screen use (duration of screen use distinguishing between social media, social engagement, passive watching, active gaming) as lifestyle factor at ages 10 and 11.","Duration of screen use measured as lifestyle factor (distinguishing social media, social engagement, passive watching, and active gaming) at ages 10 and 11.",,,MET,MET,MET,"Reports longitudinal associations between neurodevelopmental traits and psychiatric dimensions, with environmental/lifestyle factors (including screen use) as mediators. Linear regression models with beta coefficients reported.","Mediation models testing screen use as mediator of neurodevelopmental-to-psychiatric pathways. Sleep problems, school involvement, and other lifestyle factors mediated associations; direct and indirect effects reported.",,,MET,MET,MET,"Numeric results include beta coefficients (β = 0.417–0.641, p < .001) for neurodevelopmental spectrum predicting psychiatric dimensions; mediation effects with p-values reported.","Table 2 reports β coefficients with SE and p-values for longitudinal associations (e.g., Externalizing age 11: β=0.641, p<.001; Neurodevelopmental age 11: β=0.744, p<.001; adjusted models with R² reported).",,,MET,MET,MET,"Original empirical longitudinal analysis examining associations between childhood neurodevelopmental traits and early adolescent psychiatric dimensions, with mediation models.",Original empirical longitudinal analysis examining neurodevelopmental spectrum dimensions as predictors of psychiatric outcomes with environmental/lifestyle mediators including screen use.,,,MET,MET,MET,"Peer-reviewed journal article (JAACAP Open, advance online publication, 2025).","Peer-reviewed journal article (JAACAP Open, 2025).",,,MET,INCLUDE,,,All 6 criteria MET,"E3,E15","E3,E15",
306,10.1111/jcpp.14179,Trajectories of psychotic-like experiences in youth and associations with lifestyle factors.,"Cooper, Rebecca",2026.0,"Journal of child psychology and psychiatry, and allied disciplines",0,UNKNOWN,UNKNOWN,No PDF available; title mentions 'trajectories of psychotic-like experiences in youth' and 'lifestyle factors' but does not explicitly state ABCD Study use in title.,No PDF available. Title mentions 'trajectories of psychotic-like experiences in youth' but does not explicitly state ABCD Study in title; abstract not provided.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify screen variable measurement from title alone.,No PDF and abstract unavailable. Cannot determine if screen variables were measured.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify statistical tests linking screen to non-screen outcomes.,No PDF and abstract unavailable. Cannot determine if screen↔non-screen associations tested.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify numeric results.,No PDF available to extract numeric results.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify study design.,No PDF and abstract unavailable. Cannot determine study design details.,,,UNKNOWN,UNKNOWN,MET,"Published in Journal of Child Psychology and Psychiatry (peer-reviewed), but cannot verify for duplicates without PDF.",Journal of Child Psychology and Psychiatry is peer-reviewed; assume MET unless clear evidence of preprint/abstract/deposit duplicate.,,,MET,UNSURE,,,Criteria UNKNOWN (usually no PDF; retrieval pending),,,
433,10.1542/peds.2025-073891,Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,Cory Alika Carvalho,2026.0,PEDIATRICS,1,MET,MET,"Paper explicitly uses ABCD Study data collected from 11,878 children and primary caregivers at baseline (mean age 9.9 years) with annual follow-up assessments through 2016-2018; analytic sample N=9,475.","Paper explicitly analyzes ABCD baseline data from 9,475 children aged 9.9 years enrolled 2016-2018 with annual follow-ups.",,,MET,MET,MET,Smartphone ownership and age of first smartphone acquisition measured via parent report; smartphone ownership operationalized as early (<10 years) vs. later (≥10 years).,"Smartphone ownership age/timing measured via parent report: mean age 10.9 years, dichotomized as <10 years vs. ≥10 years.",,,MET,MET,MET,"Cross-sectional multivariable logistic regression examining associations between sociodemographic predictors (sex, race/ethnicity, household income, marital status, parental education) and early smartphone ownership. ORs and 95% CIs reported.","Multivariable logistic regression testing associations between smartphone ownership (exposure) and sociodemographic predictors (sex, race/ethnicity, household income, parental marital status, parental education—all non-screen variables).",,,MET,MET,MET,"Numeric results include ORs and 95% CIs for sociodemographic associations with early smartphone ownership (e.g., Black OR=3.01 [2.50–3.64], p<.001; Female OR=1.38 [1.19–1.60], p<.001).","Odds ratios reported with 95% CIs: Black youth OR=3.01 (95% CI 2.50–3.64), girls OR=1.41 (95% CI 1.24–1.60), single parent OR=2.09 (95% CI 1.77–2.46), <bachelor's degree OR=1.72 (95% CI 1.46–2.02).",,,MET,MET,MET,Original cross-sectional empirical analysis of ABCD data examining sociodemographic predictors of early smartphone ownership.,Original empirical cross-sectional analysis using multivariable logistic regression with propensity weights and cluster-robust SEs.,,,MET,MET,MET,Peer-reviewed journal article published in Pediatrics (2026).,"Peer-reviewed journal article, Pediatrics, 2026; doi:10.1542/peds.2025-073891.",,,MET,INCLUDE,,,All 6 criteria MET,E14,"E13,E14",
123,10.1016/j.jaacop.2026.02.003,Social Media Usage and Its Association With the Social Media Addiction Scale Among Early Adolescents,Jacob C. Hermann,2026.0,JAACAP Open,0,UNKNOWN,UNKNOWN,No PDF available; title mentions 'social media usage' and 'social media addiction scale' but does not explicitly confirm ABCD Study data.,No PDF available. Title and abstract not provided in batch metadata. Cannot verify ABCD cohort membership without full text.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; title suggests social media addiction scale measured but cannot confirm from abstract.,No PDF. Title mentions 'Social Media Usage' and 'Social Media Addiction Scale' but cannot confirm screen variables measured or operationalized without full text.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify associations with non-screen outcomes.,No PDF. Cannot verify whether inferential tests linking screen to non-screen variables were reported.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify numeric results.,No PDF. Cannot verify numeric coefficients or statistics without full text.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify study design.,No PDF. Cannot confirm study design (original empirical analysis vs. review vs. protocol) from title alone.,,,UNKNOWN,UNKNOWN,MET,"Published in JAACAP Open (peer-reviewed), but cannot verify for duplicates without PDF.","Peer-reviewed journal article, JAACAP Open, 2026; doi:10.1016/j.jaacop.2026.02.003.",,,MET,UNSURE,,,Criteria UNKNOWN (usually no PDF; retrieval pending),,,
397,10.1186/s12889-026-26756-z,Higher recreational screen time and lower step count are associated with higher cardiovascular disease risk in early adolescence,Jason M. Nagata,2026.0,BMC Public Health,1,MET,MET,"Paper analyzes ABCD Study data from Year 2 (2018-2020) and Year 4 (2020-2022) follow-ups; 4,443 adolescents included in final analysis from ABCD cohort.","Paper analyzes ABCD Study data from Years 2 (2018-2020) and 4 (2020-2022) follow-ups; N=4,443 adolescents with complete screen time and cardiovascular outcome data.",,,MET,MET,MET,"Recreational screen time measured via Screen Time Questionnaire (self-reported hours on weekdays/weekends); categorized as low (0-4), medium (>4-8), or high (>8 hours/day). Physical activity measured via Fitbit step count.","Self-reported recreational screen time measured via Screen Time Questionnaire, categorized as low (0-4 h/day), medium (4-8 h/day), and high (>8 h/day).",,,MET,MET,MET,"Multivariable linear regression examining associations between Year 2 screen time and step count with Year 4 cardiovascular disease risk factors (blood pressure, lipids, hemoglobin A1c). Multiple association tests reported with coefficients.","Multiple multivariable linear and Poisson regression models testing screen time↔non-screen outcomes: systolic/diastolic blood pressure percentiles, hemoglobin A1c, total/HDL/non-HDL cholesterol. Example: high screen time (>8 h/day) vs. low (0-4 h/day) associated with diastolic BP increase (β=4.25, 95% CI 1.85-6.65, p=0.001).",,,MET,MET,MET,Numeric results include adjusted risk ratios and 95% CIs: high screen time (>8 h/day) ARR 1.48 [95% CI 1.42-2.56] for increased diastolic blood pressure; low step count ARR 2.35 [95% CI 1.88-2.94] for hypertensive-range BP; high screen time associated with 4.25-point increase in diastolic BP percentile.,"Numeric coefficients and risk ratios reported: β=4.25 (diastolic BP), RR=2.82 (non-HDL cholesterol >145 mg/dL), RR=2.15 (HDL cholesterol <40 mg/dL), RR=3.52 (step count low 1,000-6,000). All with 95% CIs and p-values.",,,MET,MET,MET,Original longitudinal empirical analysis with two-year follow-up examining associations between Year 2 screen time/physical activity and Year 4 cardiovascular outcomes.,"Original empirical analysis: multivariable linear and Poisson regression examining joint associations of screen time and step count (Year 2) with cardiovascular risk factors (Year 4), adjusted for sociodemographic and lifestyle covariates.",,,MET,MET,MET,Peer-reviewed journal article published in BMC Public Health (2026).,"Peer-reviewed journal article, BMC Public Health, 2026; doi:10.1186/s12889-026-26756-z.",,,MET,INCLUDE,,,All 6 criteria MET,E9,"E9,E14",
314,10.1111/jsr.70325,Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents.,"Kiss, Orsolya",2026.0,Journal of sleep research,0,UNKNOWN,UNKNOWN,No PDF available; title mentions 'neural sensitivity' and 'sleep duration' in adolescents but does not explicitly confirm ABCD Study.,No PDF available; abstract absent from batch. Cannot verify ABCD Study cohort.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; title suggests social media use measured but cannot confirm from title alone.,No PDF available; abstract absent. Cannot verify screen variable measurement.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify associations reported.,No PDF available; abstract absent. Cannot verify screen↔non-screen test.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify numeric results.,No PDF available; abstract absent. Cannot verify numeric coefficients.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify study design.,No PDF available; abstract absent. Cannot verify study design.,,,UNKNOWN,UNKNOWN,MET,"Published in Journal of Sleep Research (peer-reviewed), but cannot verify for duplicates without PDF.",Peer-reviewed journal article (Journal of sleep research).,,,MET,UNSURE,,,Criteria UNKNOWN (usually no PDF; retrieval pending),,,
380,10.1177/10445463251415488,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study.,"Koleilat, Rawan",2026.0,Journal of child and adolescent psychopharmacology,0,UNKNOWN,MET,No PDF available; title states 'from the ABCD Study' but abstract empty; cannot verify from title alone.,Title explicitly states 'Results from the ABCD Study'; indicates ABCD data analysis.,,,MET,UNKNOWN,UNKNOWN,No PDF available; title does not mention screen variables; cannot confirm measurement.,No PDF available; abstract absent. Cannot verify screen variable measurement.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify whether screen variables were tested in associations.,No PDF available; abstract absent. Cannot verify screen↔non-screen test.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify numeric results.,No PDF available; abstract absent. Cannot verify numeric coefficients.,,,UNKNOWN,UNKNOWN,UNKNOWN,No PDF available; cannot verify study design.,No PDF available; abstract absent. Cannot verify study design (though likely empirical given title).,,,UNKNOWN,UNKNOWN,MET,"Published in Journal of Child and Adolescent Psychopharmacology (peer-reviewed), but cannot verify for duplicates without PDF.",Peer-reviewed journal article (Journal of child and adolescent psychopharmacology).,,,MET,UNSURE,,,Criteria UNKNOWN (usually no PDF; retrieval pending),,,
534,10.3389/fpsyt.2026.1756782,ADHD and gaming addiction in adolescents: psychosocial mediators in the adolescent brain cognitive development study.,"Lopez, Daniel A",2026.0,Frontiers in psychiatry,1,MET,MET,"Paper explicitly states analysis of ABCD Study data from Years 2-4 follow-up assessments; 11,868 aged 9-10 at baseline, with subset included in mediation analyses (n≈9,604 with complete mediator data).","PDF confirms analysis of U.S. ABCD Study baseline data (n=9,647 adolescents, mean age 13.1 years).",,,MET,MET,MET,Symptoms of gaming addiction measured via Video Game Addiction Questionnaire (VGAQ); ADHD measured via KSADS-COMP. Screen use operationalized as gaming-specific outcome/symptom.,"Gaming addiction measured via Video Game Addiction Questionnaire (VGAQ), a qualifying screen/gaming variable that entered SEM analysis.",,,MET,MET,MET,"Longitudinal multilevel regression and parallel mediation models examining associations between ADHD diagnosis (Year 2) and VGAQ scores (Year 4), with nine psychosocial mediators tested (parental monitoring, family conflict, school involvement, peer involvement, parental warmth, school disengagement, school risk, prosocial behavior, neighborhood safety). Beta coefficients and indirect effects reported.","SEM analysis reports direct pathway: ADHD → gaming addiction (β=0.39, p<0.001) and three indirect pathways through self-esteem, peer relationships, and academic stress (all p<0.001). Gaming addiction (screen variable) linked to non-screen variables (ADHD, self-esteem, peer relationships, academic stress).",,,MET,MET,MET,"Numeric results include beta coefficients for ADHD → VGAQ association (β reported in text); mediation indirect effects with 95% CIs from 10,000 bootstrapped samples: prosocial peer involvement 7.4% of total effect, school involvement 5.8%, family conflict 5.1%; p-values reported for significance.","Direct effect: β=0.39, p<0.001; indirect effects: β=0.14 (self-esteem), β=0.08 (peer relationships), β=0.10 (academic stress), all p<0.001; direct effect after mediators: β=0.12, p<0.01; model fit indices reported (CFI=0.92, TLI=0.89, RMSEA=0.06).",,,MET,MET,MET,Original longitudinal mediation analysis examining associations between ADHD diagnosis and gaming addiction symptoms with psychosocial factors as mediators.,Original empirical analysis: cross-sectional SEM analysis of ABCD baseline data with mediation pathways.,,,MET,MET,MET,Peer-reviewed journal article published in Frontiers in Psychiatry (2026).,Peer-reviewed journal article published in Frontiers in Psychiatry (2026).,,,MET,INCLUDE,,,All 6 criteria MET,"E3,E4","E7,E14",
2,10.1001/jama.2025.23235,Smartphone Use During School Hours by US Youth in the Adolescent Brain Cognitive Development Study.,"Nagata, Jason M",2026.0,JAMA,1,MET,MET,"Paper analyzes ABCD Study data from Years 4-6 follow-up (2020-2024) with passive sensing data via EARS app (Effortless Assessment Research System); 1,522 ABCD participants with passive sensing data, 640 analytic sample after exclusion criteria.","Explicitly uses U.S. ABCD Study data (EARS subsample, N=640 with passive sensing data on smartphone use during school hours from follow-up years 4, 5, and 6).",,,MET,MET,MET,"Smartphone use during school hours measured via EARS passive sensing app; apps categorized into 49 categories (social, educational, entertainment, games, etc.); total smartphone use hours and modality-specific use quantified.","Measures passive sensing smartphone use (app categories: social, games, entertainment, etc.) and problematic social media use (SMAQ) and problematic mobile phone use (MPIQ) scales.",,,MET,MET,UNKNOWN,"Reports associations between smartphone use during school hours (measured at Year 4/5/6) and problematic screen use (measured via SMAQ and MPIQ scales, which are behavioral outcomes). Statistical analyses conducted using linear regression with adjusted means and confidence intervals.","PDF provided only supplementary material (eMethods, eReferences) without main text results. Cannot verify screen↔non-screen associations without full paper results.",,,MET,MET,UNKNOWN,"Numeric results reported including descriptive statistics (mean screen time 6.1 ± 5.1 hours/day, mean daily steps 9,280 ± 3,279) and regression coefficients examining associations; supplementary eMethods specify statistical testing with p-values.",Supplementary material only; cannot verify numeric results for screen↔non-screen associations.,,,MET,MET,MET,Original empirical cross-sectional analysis of ABCD Study passive sensing data examining smartphone use patterns during school hours in adolescents.,Original empirical analysis examining passive sensing data and screen use measures in ABCD cohort with descriptive statistics.,,,MET,MET,MET,Peer-reviewed journal article published in JAMA (2026).,"Peer-reviewed journal article (JAMA, 2026).",,,MET,INCLUDE,,,All 6 criteria MET,E2,,
